,time,growth_rate_p5ter,growth_rate_p1longori,phi_r,sigma,chi_r
0,-300.0,0.013125313969562392,0.018792429339203384,0.11016629180532171,0.11914092554514355,0.12325856920306377
1,-295.97701149425285,0.01303735493154433,0.018780629089917282,0.110857603161617,0.11760451750465362,0.1230607410535777
2,-291.95402298850576,0.0130194873957074,0.01882807057306428,0.11144637971317514,0.11682288315883484,0.12039953208074519
3,-287.9310344827586,0.012998783519035028,0.018802697375783533,0.11179548612806525,0.1162728833626119,0.12032445349336396
4,-283.9080459770115,0.01298816109817382,0.018668086060830365,0.11233840661312575,0.11561639059830023,0.1211193427118087
5,-279.88505747126436,0.01297823969989309,0.018678159321831322,0.11271311542518853,0.11514400654205308,0.12306164127174804
6,-275.8620689655172,0.012921158265210822,0.018726497194277297,0.11341902677731003,0.11392407986872055,0.12380501063457826
7,-271.8390804597701,0.012890312349806645,0.01873832517839796,0.11379287702072624,0.1132787278720337,0.12122717629703829
8,-267.81609195402297,0.012847976322647508,0.018768822525844907,0.11419007629272983,0.11251394814476977,0.12107467250893322
9,-263.7931034482759,0.012811672334415951,0.018805175046340043,0.11450456886467726,0.11188787016487459,0.11944988039078015
10,-259.7701149425287,0.01277297290266642,0.01868751460772837,0.1146998509778428,0.11135997818457362,0.11712583767515754
11,-255.7471264367816,0.012719815023096794,0.018554411930725743,0.11475389005597521,0.11084430355164658,0.11628894491330709
12,-251.72413793103448,0.012711948471636621,0.018356158887634914,0.11485695361789909,0.11067635063634158,0.11586671873166475
13,-247.70114942528735,0.01262459502239458,0.018261122996569085,0.11485716887742638,0.10991560340362676,0.11751155303629243
14,-243.67816091954023,0.012614978348690143,0.018046833973679236,0.11512657853201036,0.10957485673199793,0.1217389963771334
15,-239.6551724137931,0.012571430619034521,0.017948329835612023,0.11552832813678389,0.10881686614689107,0.12375674796147658
16,-235.632183908046,0.012573583609222677,0.017914359206592192,0.11595887860386425,0.1084314005154899,0.12461794834413926
17,-231.60919540229884,0.01256937726950458,0.01799044413728303,0.11640433820747592,0.10798031639595136,0.12223361288713762
18,-227.58620689655172,0.012604730574258125,0.01813609735342123,0.11654841017696042,0.10815017171937245,0.12153585794489861
19,-223.5632183908046,0.01259736969903601,0.01823593743262565,0.1169101520552648,0.10775257304499174,0.1215149410621908
20,-219.54022988505747,0.012631825140143745,0.018396061271789464,0.11701514305804563,0.10795034565635406,0.11968142861681688
21,-215.51724137931035,0.012643528199985384,0.018454166553888717,0.11718114098706321,0.10789729553308607,0.11831414923103947
22,-211.4942528735632,0.012612195211287433,0.01846764198842034,0.11713040346239587,0.10767652836896884,0.11752877210572989
23,-207.4712643678161,0.012626262317409155,0.018338348047639084,0.11722156641427067,0.10771279299226308,0.11891428824918751
24,-203.44827586206895,0.012661630328760708,0.018347598167159765,0.11730236811690904,0.10794010838844731,0.11843411588133024
25,-199.42528735632183,0.012725693357076958,0.01828272177920661,0.1173368634289023,0.10845435087659228,0.11834491079303494
26,-195.4022988505747,0.012724284967636858,0.01831755181213484,0.11740558272784873,0.10837887493929745,0.11954596534023607
27,-191.3793103448276,0.01269936105846039,0.01824129627485867,0.11755599431177419,0.10802818803760861,0.1205108925261336
28,-187.35632183908046,0.012670679410506718,0.018177549859730902,0.11770751058440741,0.10764546244838508,0.11987569008773967
29,-183.33333333333331,0.012628849264937798,0.018175960393867735,0.11777703586549612,0.10722675411325695,0.11967228056627724
30,-179.31034482758622,0.012602228526562176,0.01812144246283983,0.11790008911029748,0.10688905005637937,0.11970122742690903
31,-175.28735632183907,0.012736610664407209,0.01796411616038448,0.1179596663214929,0.1079742852925189,0.11946677784460935
32,-171.26436781609195,0.01286908632029105,0.017813561236869727,0.11805453560326809,0.1090096729831598,0.11880457002007984
33,-167.24137931034483,0.012936546118679464,0.01767082945276948,0.11803732816467909,0.10959707678770157,0.1186629990866331
34,-163.2183908045977,0.013036087383088875,0.01749806654648614,0.11811965990804835,0.11036340092104034,0.11911635575788809
35,-159.19540229885058,0.013088310888173962,0.017264456741953666,0.11814186965818496,0.11078469408044614,0.12105437286473521
36,-155.17241379310343,0.012997537043358959,0.01719421736296409,0.11842637051955517,0.10975205088475408,0.12363085161061776
37,-151.1494252873563,0.012990500494618817,0.017076857585418832,0.11868614327934339,0.10945254547570875,0.12323289017767974
38,-147.1264367816092,0.012961768232286074,0.0171929028864654,0.11890160227222438,0.1090125615179701,0.12287116818932685
39,-143.10344827586206,0.012843511318885534,0.0172794931313473,0.11910012966302368,0.10783792893613435,0.12359613165174342
40,-139.08045977011494,0.012750742427997487,0.0173804633277103,0.1193662128090324,0.10682036505922088,0.1237133534566052
41,-135.05747126436782,0.012822390045573735,0.01753586085937274,0.11954611230080339,0.10725894634958835,0.1226264347580861
42,-131.03448275862067,0.01282694587091738,0.017893308320248647,0.11968400553557715,0.10717343402334954,0.12061769137063767
43,-127.01149425287355,0.012827645830926314,0.017930018467552416,0.11964247363835206,0.10721648793137574,0.11806533613873045
44,-122.98850574712642,0.012864100969958069,0.017951519414397297,0.11952122768626366,0.10763026132667908,0.11868901526326303
45,-118.9655172413793,0.012886418253840324,0.017985718199927125,0.11955633610678248,0.10778532258073499,0.11826797226475513
46,-114.94252873563218,0.012807483459798184,0.017979999387872588,0.11938764519509076,0.10727645594206618,0.11546930087724837
47,-110.91954022988506,0.012783154279610765,0.017821806373183896,0.1191525557501343,0.10728392856647859,0.11623589628996274
48,-106.89655172413791,0.012795874688011317,0.017775855521600846,0.11908765812035144,0.10744920917900368,0.11845061926224378
49,-102.87356321839079,0.0128060522357959,0.017671131928787703,0.11908696921473409,0.1075352939136809,0.1198103313935464
50,-98.85057471264366,0.012804636186907924,0.01761020097807902,0.11916219133521452,0.10745552799450683,0.12180661186080612
51,-94.82758620689654,0.012785398813481837,0.017452731553026155,0.1193594127771338,0.10711680391185027,0.12186677918602468
52,-90.80459770114942,0.012770795663315774,0.01742694997083621,0.11942012668758738,0.10694006125722173,0.11876964203655689
53,-86.7816091954023,0.012729874963637956,0.01746649890571247,0.11929257318411882,0.10671137878793496,0.1213558007021098
54,-82.75862068965517,0.01271457580284967,0.017615606008355635,0.11963145128331029,0.10628121339712839,0.12102523013317072
55,-78.73563218390802,0.012729726942093308,0.017685726076598088,0.11943515841155872,0.10658274423874627,0.1135496477510581
56,-74.7126436781609,0.01274626140535852,0.017811832894085066,0.11902863909324056,0.10708566864629773,0.11392199515210216
57,-70.68965517241378,0.01273067075048942,0.017838989146266433,0.11891144079081747,0.1070601000696352,0.11656035395241249
58,-66.66666666666666,0.012762429998737583,0.01776574685921204,0.11878781565977067,0.107438881065811,0.11617090866937875
59,-62.643678160919535,0.01277463100021518,0.01761019020634899,0.11864272050812025,0.10767311256438061,0.11841462867076838
60,-58.62068965517241,0.012817236303257358,0.017523658640477988,0.11876437138000709,0.10792156060209673,0.12137073666830858
61,-54.59770114942526,0.012886242730756777,0.01744092952056892,0.11891150763288964,0.10836834035053965,0.12305144117070532
62,-50.57471264367814,0.012978663900155958,0.017365701811473417,0.11919360967794095,0.10888724601280288,0.1265931852810212
63,-46.55172413793102,0.01300147170831319,0.017361246736466655,0.11968421594701976,0.10863146493827149,0.12680154932423648
64,-42.528735632183896,0.012916199350478651,0.01740851437619029,0.11993815066621406,0.10769049946771503,0.12550338129682276
65,-38.505747126436745,0.012927947332658746,0.017493413074268403,0.12026257387551899,0.10749767709146293,0.12387912120878612
66,-34.48275862068965,0.01288526098001113,0.017464273864241552,0.12031433656754029,0.10709663825289675,0.12425758749605689
67,-30.4597701149425,0.012802379069392647,0.01753626514114742,0.12067138849766296,0.10609291256842206,0.1224202788070679
68,-26.436781609195407,0.012767620496811148,0.01749930761654421,0.12049448564437078,0.1059602058013982,0.11891298314018589
69,-22.413793103448256,0.01282959446538965,0.01756879323464418,0.12050892393844764,0.1064617793114029,0.11878734121643364
70,-18.390804597701162,0.012847969388416909,0.017535155876628464,0.12031677247525074,0.10678452491783509,0.11859261469577306
71,-14.367816091954012,0.012833907687606828,0.01754041774328756,0.120330690048102,0.10665531530216019,0.11823668732343463
72,-10.344827586206861,0.01295260225785609,0.017510998261553747,0.12010054297678885,0.1078479908318097,0.11600598924209833
73,-6.3218390804597675,0.0129607747473172,0.01753708444009363,0.11990397064391572,0.10809295703648883,0.11996490633332635
74,-2.298850574712617,0.013017009670109948,0.01759005790858826,0.12010689747818157,0.10837853564966657,0.12314652709917437
75,1.7241379310344769,0.013115974538170976,0.01766178212987458,0.12022232491654804,0.10909766174689592,0.12098051881883985
76,5.7471264367816275,0.013392386635916478,0.0179802563817898,0.12018691030970133,0.11142966069604889,0.11883074990983962
77,9.770114942528778,0.0135651037307328,0.018422121082422777,0.1200761920764252,0.11297080208955147,0.11528483137285575
78,13.793103448275872,0.013970575406437247,0.018945267187628255,0.11966395958017612,0.11674839655524531,0.1122144038867254
79,17.816091954023022,0.014384386243569077,0.01948698888257924,0.11923881040180606,0.12063510357992638,0.11118297613456316
80,21.839080459770116,0.014744013211388674,0.020180663696805986,0.11873160599247565,0.12417934625025659,0.112571020427078
81,25.862068965517267,0.01488411881960808,0.020645362433410232,0.11850798018943504,0.1255959201719227,0.11771989962557108
82,29.88505747126436,0.014944330855336878,0.02088929964410129,0.11863722760941378,0.12596662242089562,0.1270966208273921
83,33.90804597701151,0.014851064026162014,0.021044365946791963,0.11952515237057759,0.12425053414797206,0.1376765179879113
84,37.93103448275866,0.014663302570544729,0.021181504361601915,0.120806158242307,0.12137876730699278,0.1476053829439378
85,41.954022988505756,0.014477686136126133,0.021117377677563814,0.1226869408570054,0.11800511150571621,0.15635635428836406
86,45.977011494252906,0.014412503415829303,0.021084174524959573,0.12472821157601592,0.11555127130998401,0.16230109874536333
87,50.0,0.014418597048918777,0.021082965294164095,0.12704399321642554,0.11349294589911076,0.1679312253329489
88,54.02298850574715,0.014480945260880392,0.021090664503345503,0.12947160889824158,0.11184649193833464,0.17207468561958716
89,58.045977011494244,0.014676759344870473,0.02112478816166807,0.1320078205194465,0.1111809837259482,0.1721034131428891
90,62.068965517241395,0.01501856848559552,0.0212262100059268,0.13420645205464343,0.1119064564755841,0.17209699300777248
91,66.09195402298855,0.015465335110533907,0.021371353108376595,0.13658647774913138,0.1132274245986423,0.1737226038879795
92,70.11494252873564,0.015865840341829498,0.021490938917787764,0.1388274387766094,0.11428461463846211,0.1727380078815264
93,74.13793103448279,0.016346453637528027,0.02166993466104348,0.14091537168848117,0.11600191974559602,0.1760131494440694
94,78.16091954022988,0.01679443221220042,0.021807863389309713,0.14344361047549894,0.11708037853013335,0.17956085708389258
95,82.18390804597703,0.017148955609213916,0.02200995657508319,0.1457958091011156,0.117623103948896,0.1776432228249861
96,86.20689655172418,0.017498847793084134,0.022111322141848945,0.1478379198887547,0.1183650839125151,0.1778792002017342
97,90.22988505747128,0.017900076391944193,0.022231551186702822,0.15002548098840687,0.11931357442758281,0.17994237389640708
98,94.25287356321843,0.01814512785836988,0.022213697563081652,0.15214665860052448,0.11926077131941253,0.18049643384136171
99,98.27586206896552,0.018355919594061357,0.02221088438614124,0.15416441440853018,0.11906716387491881,0.17926953754306987
100,102.29885057471267,0.01861086359866797,0.022145209247449192,0.15585446705063521,0.11941180737939021,0.1800483499270111
101,106.32183908045977,0.01881466005703128,0.02207812149623158,0.15778726886708266,0.1192406725341094,0.17807613672873165
102,110.34482758620692,0.01901275673328386,0.02200919361610466,0.15892584298432794,0.11963288270969721,0.17508438129283824
103,114.36781609195407,0.01928403272304425,0.02193472191484799,0.16025914071326208,0.12033031399779881,0.17623134322407333
104,118.39080459770116,0.019579979138617813,0.021952246174390705,0.16140407210058427,0.12131031691948826,0.17390073361140648
105,122.41379310344831,0.019813228084812624,0.021881365247523696,0.1622278655429056,0.12213208882768956,0.1707502019868884
106,126.4367816091954,0.019979972446720045,0.021853467412306055,0.16276267551490725,0.12275524707069652,0.16857677994045353
107,130.45977011494256,0.020118786564855294,0.021878520128119888,0.16316253166195546,0.1233051875325025,0.16582740100514018
108,134.48275862068965,0.020162042210034637,0.021988713793362355,0.1631940520238398,0.12354642807134487,0.1621940556197353
109,138.5057471264368,0.02022026751195955,0.022102135766024045,0.16300030891716688,0.12405048583211606,0.16122678815260968
110,142.52873563218395,0.020312333413874603,0.02214048232397933,0.1629055147248955,0.12468781948957826,0.16014065891459206
111,146.55172413793105,0.02037680570309821,0.022157563291465402,0.1625484414327747,0.12535835793618152,0.15863003317931204
112,150.5747126436782,0.02034323650036146,0.022023983531017713,0.16226308655762703,0.12537193105307196,0.15817683207548475
113,154.5977011494253,0.020388161588481044,0.021926863083877222,0.16187959834160667,0.12594645525038242,0.15595048111173396
114,158.62068965517244,0.020374219593800452,0.02169600993462421,0.16129045828048008,0.12632005520357684,0.1513709697485861
115,162.64367816091954,0.020338798999567104,0.021489464782721984,0.16025349160224006,0.12691641721011215,0.15116155341060522
116,166.66666666666669,0.020367427980808928,0.021352913094551187,0.15980260342556854,0.1274536681143339,0.1526984988558626
117,170.68965517241384,0.02043036633613351,0.021136599852877032,0.1590893003754109,0.1284207441224706,0.1516644218842555
118,174.71264367816093,0.020434188581276286,0.020984486741462163,0.15858208513473052,0.12885559276078068,0.15188782901726786
119,178.73563218390808,0.02042636211771535,0.02085239231299301,0.15798867756689464,0.12929003794633664,0.15282893771626702
120,182.75862068965517,0.020423119621913878,0.021086454438297247,0.1577340816837479,0.12947816606218066,0.152520353740036
121,186.78160919540232,0.02043103757238069,0.021202645103099167,0.1571319371918443,0.13002472913852128,0.1499961526965974
122,190.80459770114948,0.020284262562226457,0.021470094193829226,0.15656104677809776,0.12956136267392498,0.15092422470325342
123,194.82758620689657,0.020171288672133976,0.021629936679653627,0.1562119700046272,0.1291276761411848,0.15098627781318508
124,198.85057471264372,0.020136019054003276,0.02162276790174269,0.1557129288241471,0.1293150106806076,0.15203075764800175
125,202.8735632183908,0.02016582796120726,0.021410118224811054,0.15561540692101714,0.1295876054961734,0.15334202968076793
126,206.89655172413796,0.020102899636824684,0.02120881568994724,0.15534406475492352,0.12940886842725374,0.15352682139185073
127,210.91954022988506,0.02019214620711149,0.021123636807603794,0.15532147240767832,0.13000228425669552,0.15249085705866378
128,214.9425287356322,0.020180779316333258,0.020958519034737687,0.15488418729183873,0.13029593058656053,0.15234087878575747
129,218.9655172413793,0.020145312552893712,0.021127874547683716,0.15490850501243458,0.13004652359969932,0.15446508156326727
130,222.9885057471265,0.01997483369450389,0.021225661578970628,0.15481231335179585,0.12902613017036332,0.15538636813829027
131,227.0114942528736,0.019925472247578166,0.021424032845251736,0.15500076540581656,0.12855079905837963,0.15766562465337072
132,231.0344827586207,0.019814322456621798,0.02136998161030302,0.15523954329761872,0.1276370828960416,0.1576896069499496
133,235.0574712643678,0.019781746978843596,0.021397030146984183,0.15539136823193808,0.12730274019672214,0.158101568031381
134,239.080459770115,0.019748404324398332,0.02124074691786213,0.15567090813309326,0.12685995451066637,0.15890935272124732
135,243.1034482758621,0.019804117726210494,0.021062442799423882,0.1559059415558038,0.12702606153802007,0.16031242988745287
136,247.1264367816092,0.01983005197022689,0.020926007116794224,0.15637305330062665,0.12681246258013318,0.162054199032732
137,251.1494252873564,0.019825238243491427,0.020938247091611704,0.15681238052801827,0.1264264860767749,0.16084240431303895
138,255.1724137931035,0.019787776341473606,0.020956341602252886,0.15701589614160918,0.12602403213765978,0.1588837291837834
139,259.1954022988506,0.019746123504912894,0.02106168920461009,0.15710976195028528,0.12568361927224625,0.1594132564685484
140,263.2183908045977,0.019687500247767234,0.021137545786098614,0.15738186810799262,0.1250938274176414,0.15845044013912443
141,267.2413793103449,0.019550385302488264,0.021158911913994147,0.1572790292892435,0.1243038273496347,0.15784311415354335
142,271.264367816092,0.019498822077413103,0.021057134875880432,0.1574705997575128,0.12382515915630676,0.16173871820388705
143,275.28735632183907,0.019484609267979344,0.020954907863847957,0.1579486419045748,0.12336041027659507,0.16263042565258934
144,279.3103448275863,0.019458668871647364,0.020865455673952413,0.15820457572193886,0.12299687782639117,0.1609261323188244
145,283.33333333333337,0.019490554579799133,0.020887103401877372,0.15837473969818366,0.12306605596916831,0.1616607165454055
146,287.35632183908046,0.019580213100428616,0.02086544900217837,0.1587198844318482,0.12336332760395909,0.16087862247044976
147,291.37931034482756,0.019710060579678633,0.020974712491954782,0.1587148314864213,0.12418537319472195,0.15963766210625124
148,295.40229885057477,0.01974018294498137,0.02102128122531634,0.15886623308926362,0.12425663126216238,0.15926958545952552
149,299.42528735632186,0.019747481693409445,0.020982892073547754,0.15877889556350386,0.12437094755777169,0.15674007493699404
150,303.44827586206895,0.019756848115895315,0.020976883119825828,0.15854228939847392,0.12461563530370899,0.1556150278343473
151,307.47126436781616,0.019714914807521883,0.020953161804229237,0.15831356885680772,0.1245307963801494,0.1556866746469836
152,311.49425287356325,0.01963585943140547,0.020896984738944222,0.15812559633078957,0.12417887987172166,0.15462457644241207
153,315.51724137931035,0.019574086272873825,0.020761579197801302,0.1577604438674248,0.12407474138018437,0.15621038338982463
154,319.54022988505756,0.01950318280853016,0.0207485028497771,0.1578814732013447,0.12353053473004993,0.15793798456857666
155,323.56321839080465,0.01943506984632225,0.020637495008569547,0.15776931175326525,0.12318663008885196,0.1572056260960544
156,327.58620689655174,0.01942190598953885,0.02062569329704723,0.1577933273498104,0.12308445683816924,0.15703201222488053
157,331.60919540229884,0.01943816560056807,0.020606070804964644,0.15765034240212317,0.12329922856105567,0.15625163948593165
158,335.63218390804604,0.019459271249277797,0.020672042768653604,0.1575745715654696,0.12349245856075701,0.15520550007348421
159,339.65517241379314,0.019526847753759728,0.020692644082352902,0.1572794196051113,0.12415386452205054,0.1556590402113106
160,343.67816091954023,0.019621402523586788,0.020739954033828716,0.15731998959755866,0.12472288215744504,0.15784316402424126
161,347.70114942528744,0.01974491389770592,0.020759403930915753,0.15736201490638935,0.1254744603356259,0.15757305230695895
162,351.72413793103453,0.019791351166283336,0.020773514728125053,0.157353516502299,0.1257763512771205,0.15619921567785724
163,355.7471264367816,0.019788136497099883,0.02077687545889757,0.15717820316986475,0.12589618724496143,0.15703264639922893
164,359.7701149425287,0.01971817039335841,0.02077009729258267,0.1573303416968761,0.12532973729472252,0.15837974038465163
165,363.79310344827593,0.01963145544896914,0.020853955765511925,0.15734469231348874,0.12476719208205655,0.15845728988772367
166,367.816091954023,0.01956244571030358,0.020854595281132426,0.15750608120029974,0.12420120900237566,0.1592170242982146
167,371.8390804597701,0.019497077578105638,0.020879262764405493,0.1576139930264366,0.12370143794805954,0.16050124361874435
168,375.8620689655173,0.019483047757171783,0.020874810878823893,0.15795901297213835,0.1233424252948979,0.16037523966899703
169,379.8850574712644,0.019550976475515083,0.020977659469336215,0.15799276109642438,0.12374602696881125,0.16037430293141475
170,383.9080459770115,0.01952440198821873,0.02099054801461435,0.15833364547643658,0.12331176945663376,0.16072893460260065
171,387.9310344827586,0.01950955941632729,0.021135111471320505,0.15836904398658605,0.12319048549652016,0.159590901648753
172,391.9540229885058,0.019483691681262398,0.021233537125929836,0.15852544470931978,0.1229057689570824,0.15938828888742454
173,395.9770114942529,0.019456844461235395,0.021388720640329834,0.15850430804353566,0.12275278004362677,0.15906868791163367
174,400.0,0.01945547354405929,0.021486833056569624,0.1586137979957272,0.12265940157730408,0.16001268832696658
